"";"name";"host_id";"host_name";"neighbourhood_group";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"calculated_host_listings_count";"availability_365";"number_of_reviews_ltm";"license";"log_price";"log_minimum_nights";"dummy_room_type";"dummy_ng"
"1";"Explore Cultural Sights from a Family-Friendly Apartment";139939;"Alejandro";"Casco Antiguo";"San Vicente";37,39358;-5,99975;"Entire home/apt";99;2;168;"2020-01-08";1,18;1;117;0;"CTC-2018150852";4,59511985013459;0,693147180559945;"Entire home/apt";1
"2";"BEAUTIFUL APARTMENT IN SEVILLE";224697;"Walter";"Casco Antiguo";"San Lorenzo";37,39898;-5,99533;"Entire home/apt";75;3;42;"2020-02-17";0,3;1;241;0;"VFT/SE/01116";4,31748811353631;1,09861228866811;"Entire home/apt";1
"3";"(2) ROOM + PRIVATE BATHROOM. CASA DEL BUEN VIAJE";503692;"Margot";"Casco Antiguo";"San Bartolomé";37,38816;-5,98537;"Private room";79;2;86;"2022-06-06";0,64;6;360;11;"H/SE/01244";4,36944785246702;0,693147180559945;"Private room";1
"4";"Sunny apt in heart of seville!!";560040;"Pepe";"Casco Antiguo";"San Lorenzo";37,39794;-5,99795;"Entire home/apt";84;2;160;"2022-09-19";1,16;2;44;8;"VFT/SE/05126";4,43081679884331;0,693147180559945;"Entire home/apt";1
"5";"TERRACE ALAMEDA. WIFI GARAGE DOWNTOWN";589600;"Miguel";"Casco Antiguo";"San Lorenzo";37,39941;-5,99379;"Entire home/apt";85;3;103;"2022-09-08";0,77;10;119;22;"VFT/SE/00748";4,44265125649032;1,09861228866811;"Entire home/apt";1
"6";"Walk to the Cathedral!! ATICO DUPLEX, WIFI.";589600;"Miguel";"Casco Antiguo";"Arenal";37,38551;-5,99497;"Entire home/apt";83;3;212;"2022-09-08";1,54;10;313;40;"VFT/SE/00834";4,4188406077966;1,09861228866811;"Entire home/apt";1
"7";"Walk to the Cathedral!! DUPLEX ARENAL, WIFI.";589600;"Miguel";"Casco Antiguo";"Arenal";37,38549;-5,99506;"Entire home/apt";78;3;132;"2022-09-11";0,97;10;339;26;"CTC-2018177111";4,35670882668959;1,09861228866811;"Entire home/apt";1
"8";"apto lujo 2 D en el Arenal (Sevilla)";629861;"Alvaro";"Casco Antiguo";"Arenal";37,38671;-5,99581;"Entire home/apt";106;64;1;"2019-11-24";0,03;2;22;0;"";4,66343909411207;4,15888308335967;"Entire home/apt";1
"9";"Bamberg Duplex Private Terrace Old town 5 pax";860055;"Maria";"Casco Antiguo";"Santa Cruz";37,38731;-5,99095;"Entire home/apt";150;3;167;"2022-09-11";1,28;23;231;13;"VFT/SE/0426";5,01063529409626;1,09861228866811;"Entire home/apt";1
"10";"Macarena Romans Walls 7 pax";860055;"Maria";"Macarena";"León XIII, Los Naranjos";37,40307;-5,98409;"Entire home/apt";115;3;107;"2022-07-31";0,79;23;299;2;"VFT/SE/00425";4,74493212836325;1,09861228866811;"Entire home/apt";0
